,posicion,poder_univariado,estabilidad_l1,importancia_perm_lr,importancia_perm_rf,tipo,positivos,rango_promedio,en_formulario_actual,soporte_bajo
BirthWeight,1,0.4868,0.98,0.0453,0.0831,continua,,1.25,True,False
duration.hopitalization,2,0.4615,0.785,0.0392,0.0357,continua,,2.25,False,False
duration.O2,3,0.3774,0.995,0.0325,0.0079,continua,,3.25,False,False
SepsisnegativeCulture,4,0.2477,0.295,0.0238,0.0074,binaria,18.0,6.25,False,False
PregnancyAge,5,0.3425,0.045,0.002,0.0039,continua,,11.375,True,False
IUGR,6,0.2776,0.175,0.0161,-0.0079,binaria,30.0,13.5,False,False
icter,7,0.0846,0.41,-0.0039,0.0125,binaria,49.0,13.5,False,False
BPD,8,0.2528,0.0,0.0093,0.0047,binaria,14.0,13.75,False,False
pregnancycomplication,9,0.2335,0.055,-0.0054,0.0117,binaria,47.0,14.0,False,False
type.of.ressucitation_ppv,10,0.1312,0.035,0.0047,0.0031,binaria,21.0,14.25,False,False
apgar5,11,0.2351,0.28,0.0159,-0.0091,continua,,14.5,True,False
PROM,12,0.0603,0.06,0.0103,0.0022,binaria,12.0,15.0,False,False
sepsis,13,0.1064,0.0,0.0111,0.0048,binaria,5.0,16.375,False,True
B.C,14,0.1039,0.0,0.0031,0.0081,binaria,7.0,17.25,False,False
NEC,15,0.1226,0.005,0.0023,0.0015,binaria,10.0,17.375,False,False
RoundHeadAtBirth,16,0.3617,0.135,-0.0105,-0.0022,continua,,19.25,False,False
type.of.ressucitation_no_resuscitation,17,0.1424,0.055,-0.013,0.0012,binaria,59.0,20.0,False,False
hypothyroid,18,0.0978,0.005,0.0002,-0.0002,binaria,6.0,20.75,False,False
ehya.badve.tavallod,19,0.1662,0.0,-0.0079,0.0038,binaria,29.0,21.25,False,False
PDA,20,0.1226,0.0,-0.0052,0.0034,binaria,10.0,21.875,False,False
pneumothorax,21,0.1064,0.0,0.0013,-0.0004,binaria,5.0,22.125,False,True
type.of.ressucitation_advanced,22,0.0111,0.025,-0.0042,0.0043,binaria,9.0,22.125,False,False
IVH,23,0.08,0.0,-0.0007,0.0012,binaria,8.0,22.75,False,False
apgar1,24,0.1479,0.26,-0.0196,-0.0186,continua,,23.25,False,False
notaggressive.ventilation,25,0.1307,0.055,-0.0137,-0.0019,binaria,57.0,23.25,False,False
intervencion_respiratoria_agresiva,26,0.2401,0.0,-0.0078,-0.0005,binaria,24.0,23.25,False,False
Sex,27,0.0132,0.03,-0.0011,-0.0003,binaria,43.0,23.5,False,False
DM,28,0.039,0.025,-0.0032,-0.0009,binaria,13.0,23.625,True,False
preeclampsia,29,0.1474,0.0,-0.0046,-0.0014,binaria,26.0,24.0,True,False
laborType_cs,30,0.0284,0.395,-0.0062,-0.0053,binaria,58.0,24.25,False,False
laborType_NVD,31,0.0284,0.045,-0.0052,-0.0008,binaria,31.0,24.375,False,False
drug.mother,32,0.0198,0.005,0.004,-0.0078,binaria,20.0,24.75,False,False
csf.culture,33,0.0213,0.0,0.0,0.0,binaria,1.0,24.75,False,True
seizure,34,0.0025,0.0,0.0002,-0.0001,binaria,2.0,25.5,False,True
congenital.anomaly,35,0.0414,0.0,-0.0034,-0.0046,binaria,4.0,27.5,False,True
mother.sonogarphy.result,36,0.0289,0.0,-0.0095,-0.0022,binaria,5.0,30.0,False,True
